oracle_call,neural_reward,blind_reward,single_reward,neural_silent,blind_silent
1,0.500,0.000,0.000,0,0
2,1.000,0.000,0.000,0,0
3,1.500,0.000,0.000,0,0
4,2.000,0.500,0.000,0,0
5,2.500,0.500,0.000,0,0
6,2.500,0.500,0.000,0,0
7,2.500,1.000,0.000,0,0
8,2.500,1.500,0.000,0,0
9,2.500,1.500,0.000,0,0
10,2.500,1.500,0.000,0,0
11,2.500,1.500,0.000,0,0
12,2.500,1.500,0.000,0,0
13,3.000,1.500,0.000,0,0
14,3.500,1.500,0.000,0,0
15,4.000,1.500,0.500,0,0
16,4.000,1.500,0.500,0,0
17,4.000,1.500,0.500,0,0
18,4.500,1.500,1.000,0,0
19,5.000,2.000,1.500,0,0
20,5.000,2.500,1.500,0,0
21,5.000,2.500,1.500,0,0
22,5.500,2.500,1.500,0,0
23,6.000,2.500,1.500,0,0
24,6.000,2.500,1.500,0,0
25,6.500,3.000,1.500,0,0
26,6.500,3.500,1.500,0,0
27,6.500,3.500,1.500,0,0
28,7.000,4.000,1.500,0,0
29,7.500,4.000,1.500,0,0
30,8.000,4.000,1.500,0,0
31,8.000,4.000,2.000,0,0
32,8.000,4.500,2.000,0,0
33,8.500,5.000,2.000,0,0
34,9.000,5.000,2.000,0,0
35,9.000,5.000,2.000,0,0
36,9.500,5.000,2.000,0,0
37,9.500,5.000,2.000,0,0
38,10.000,5.500,2.000,0,0
39,10.500,5.500,2.000,0,0
40,11.000,5.500,2.000,0,0
41,11.500,5.500,2.500,0,0
42,12.000,5.500,2.500,0,0
43,12.000,5.500,2.500,0,0
44,12.500,5.500,2.500,0,0
45,13.000,5.500,3.000,0,0
46,13.500,5.500,3.500,0,0
47,14.000,5.500,3.500,0,0
48,14.500,5.500,4.000,0,0
49,15.000,5.500,4.000,0,0
50,15.500,5.500,4.000,0,0
51,15.500,5.500,4.000,0,0
52,16.000,5.500,4.000,0,0
53,16.000,5.500,4.000,0,0
54,16.000,5.500,4.000,0,0
55,16.500,5.500,4.000,0,0
56,17.000,5.500,4.000,0,0
57,17.000,5.500,4.000,0,0
58,17.500,6.000,4.000,0,0
59,18.000,6.000,4.000,0,0
60,18.500,6.000,4.000,0,0
61,18.500,6.500,4.500,0,0
62,18.500,6.500,5.000,0,0
63,19.000,7.000,5.000,0,0
64,19.500,7.000,5.000,0,0
65,19.500,7.000,5.000,0,0
66,20.000,7.000,5.500,0,0
67,20.500,7.000,5.500,0,0
68,21.000,7.500,5.500,0,0
69,21.500,7.500,5.500,0,0
70,21.500,8.000,6.000,0,0
71,22.000,8.000,6.000,0,0
72,22.500,8.000,6.000,0,0
73,22.500,8.000,6.000,0,0
74,23.000,8.500,6.000,0,0
75,23.500,8.500,6.000,0,0
76,24.000,9.000,6.000,0,0
77,24.000,9.000,6.500,0,0
78,24.000,9.000,6.500,0,0
79,24.500,9.000,7.000,0,0
80,25.000,9.000,7.000,0,0
81,25.500,9.000,7.500,0,0
82,26.000,9.000,7.500,0,0
83,26.000,9.000,7.500,0,0
84,26.500,9.000,7.500,0,0
85,27.000,9.000,8.000,0,0
86,27.000,9.000,8.000,0,0
87,27.500,9.000,8.000,0,0
88,28.000,9.000,8.000,0,0
89,28.500,9.000,8.000,0,0
90,29.000,9.000,8.000,0,0
91,29.500,9.000,8.000,0,0
92,30.000,9.000,8.000,0,0
93,30.000,9.000,8.500,0,0
94,30.000,9.000,8.500,0,0
95,30.000,9.000,8.500,0,0
96,30.500,9.000,8.500,0,0
97,31.000,9.000,9.000,0,0
98,31.500,9.000,9.000,0,0
99,32.000,9.000,9.000,0,0
100,32.000,9.500,9.000,0,0
101,32.500,9.500,9.500,0,0
102,33.000,9.500,9.500,0,0
103,33.500,9.500,9.500,0,0
104,34.000,10.000,9.500,0,0
105,34.500,10.000,9.500,0,0
106,35.000,10.000,9.500,0,0
107,35.500,10.500,9.500,0,0
108,36.000,10.500,9.500,0,0
109,36.500,10.500,9.500,0,0
110,36.500,10.500,9.500,0,0
111,37.000,10.500,9.500,0,0
112,37.500,11.000,9.500,0,0
113,37.500,11.000,9.500,0,0
114,38.000,11.000,9.500,0,0
115,38.000,11.000,9.500,0,0
116,38.500,11.000,9.500,0,0
117,39.000,11.000,9.500,0,0
118,39.500,11.000,9.500,0,0
119,40.000,11.000,9.500,0,0
120,40.500,11.000,9.500,0,0
121,41.000,11.000,10.000,0,0
122,41.500,11.000,10.000,0,0
123,42.000,11.500,10.000,0,0
124,42.000,12.000,10.000,0,0
125,42.500,12.000,10.000,0,0
126,43.000,12.000,10.000,0,0
127,43.500,12.000,10.000,0,0
128,43.500,12.000,10.000,0,0
129,44.000,12.000,10.000,0,0
130,44.000,12.000,10.500,0,0
131,44.500,12.000,10.500,0,0
132,44.500,12.500,11.000,0,0
133,45.000,12.500,11.000,0,0
134,45.500,12.500,11.000,0,0
135,46.000,12.500,11.000,0,0
136,46.500,12.500,11.000,0,0
137,47.000,12.500,11.000,0,0
138,47.500,12.500,11.000,0,0
139,48.000,13.000,11.000,0,0
140,48.500,13.000,11.000,0,0
141,49.000,13.500,11.000,0,0
142,49.500,14.000,11.000,0,0
143,49.500,14.000,11.000,0,0
144,50.000,14.000,11.000,0,0
145,50.500,14.000,11.000,0,0
146,50.500,14.000,11.000,0,0
147,51.000,14.000,11.000,0,0
148,51.500,14.500,11.000,0,0
149,52.000,14.500,11.000,0,0
150,52.500,15.000,11.000,0,0
151,53.000,15.000,11.000,0,0
152,53.500,15.000,11.000,0,0
153,54.000,15.000,11.000,0,0
154,54.500,15.500,11.000,0,0
155,55.000,15.500,11.000,0,0
156,55.500,16.000,11.000,0,0
157,56.000,16.000,11.000,0,0
158,56.500,16.000,11.000,0,0
159,57.000,16.000,11.000,0,0
160,57.000,16.000,11.000,0,0
161,57.000,16.000,11.000,0,0
162,57.500,16.500,11.000,0,0
163,58.000,16.500,11.000,0,0
164,58.500,17.000,11.000,0,0
165,58.500,17.000,11.500,0,0
166,58.500,17.000,12.000,0,0
167,59.000,17.000,12.000,0,0
168,59.500,17.000,12.000,0,0
169,60.000,17.000,12.000,0,0
170,60.500,17.000,12.000,0,0
171,61.000,17.500,12.000,0,0
172,61.500,17.500,12.000,0,0
173,62.000,18.000,12.000,0,0
174,62.500,18.000,12.000,0,0
175,62.500,18.000,12.000,0,0
176,63.000,18.000,12.000,0,0
177,63.500,18.000,12.000,0,0
178,64.000,18.000,12.000,0,0
179,64.500,18.000,12.500,0,0
180,65.000,18.500,13.000,0,0
181,65.500,18.500,13.000,0,0
182,66.000,18.500,13.000,0,0
183,66.000,19.000,13.000,0,0
184,66.500,19.000,13.000,0,0
185,67.000,19.500,13.000,0,0
186,67.500,20.000,13.500,0,0
187,67.500,20.000,13.500,0,0
188,68.000,20.000,13.500,0,0
189,68.000,20.000,13.500,0,0
190,68.500,20.000,13.500,0,0
191,69.000,20.000,13.500,0,0
192,69.500,20.000,13.500,0,0
193,70.000,20.500,14.000,0,0
194,70.500,21.000,14.000,0,0
195,70.500,21.000,14.000,0,0
196,71.000,21.000,14.000,0,0
197,71.500,21.000,14.500,0,0
198,72.000,21.500,14.500,0,0
199,72.500,21.500,14.500,0,0
200,73.000,21.500,14.500,0,0
201,73.500,21.500,14.500,0,0
202,74.000,21.500,14.500,0,0
203,74.500,21.500,14.500,0,0
204,74.500,21.500,14.500,0,0
205,74.500,21.500,14.500,0,0
206,75.000,21.500,14.500,0,0
207,75.500,21.500,14.500,0,0
208,76.000,22.000,15.000,0,0
209,76.500,22.000,15.000,0,0
210,77.000,22.000,15.000,0,0
211,77.500,22.000,15.000,0,0
212,78.000,22.000,15.000,0,0
213,78.500,22.000,15.000,0,0
214,79.000,22.000,15.000,0,0
215,79.500,22.000,15.500,0,0
216,80.000,22.000,15.500,0,0
217,80.500,22.000,15.500,0,0
218,81.000,22.000,16.000,0,0
219,81.500,22.500,16.000,0,0
220,82.000,22.500,16.000,0,0
221,82.500,23.000,16.000,0,0
222,83.000,23.000,16.000,0,0
223,83.500,23.500,16.000,0,0
224,83.500,23.500,16.000,0,0
225,84.000,23.500,16.000,0,0
226,84.500,23.500,16.000,0,0
227,85.000,23.500,16.000,0,0
228,85.500,23.500,16.000,0,0
229,86.000,23.500,16.000,0,0
230,86.500,24.000,16.000,0,0
231,87.000,24.000,16.000,0,0
232,87.000,24.000,16.000,0,0
233,87.500,24.000,16.000,0,0
234,88.000,24.000,16.000,0,0
235,88.500,24.000,16.000,0,0
236,89.000,24.000,16.500,0,0
237,89.500,24.500,16.500,0,0
238,90.000,24.500,17.000,0,0
239,90.500,24.500,17.000,0,0
240,91.000,24.500,17.000,0,0
241,91.000,24.500,17.000,0,0
242,91.500,25.000,17.000,0,0
243,92.000,25.000,17.000,0,0
244,92.500,25.000,17.000,0,0
245,93.000,25.500,17.000,0,0
246,93.500,26.000,17.000,0,0
247,94.000,26.000,17.000,0,0
248,94.500,26.000,17.000,0,0
249,95.000,26.000,17.000,0,0
250,95.500,26.000,17.000,0,0
251,95.500,26.000,17.000,0,0
252,96.000,26.000,17.500,0,0
253,96.500,26.000,17.500,0,0
254,97.000,26.000,18.000,0,0
255,97.500,26.000,18.000,0,0
256,97.500,26.000,18.000,0,0
257,98.000,26.000,18.000,0,0
258,98.500,26.000,18.000,0,0
259,99.000,26.000,18.000,0,0
260,99.500,26.000,18.000,0,0
261,99.500,26.000,18.000,0,0
262,100.000,26.500,18.000,0,0
263,100.500,26.500,18.000,0,0
264,101.000,26.500,18.500,0,0
265,101.500,26.500,18.500,0,0
266,102.000,26.500,18.500,0,0
267,102.500,26.500,18.500,0,0
268,103.000,26.500,18.500,0,0
269,103.500,26.500,18.500,0,0
270,104.000,26.500,19.000,0,0
271,104.500,26.500,19.000,0,0
272,105.000,27.000,19.000,0,0
273,105.500,27.000,19.000,0,0
274,106.000,27.000,19.000,0,0
275,106.500,27.000,19.000,0,0
276,107.000,27.000,19.000,0,0
277,107.500,27.000,19.000,0,0
278,108.000,27.000,19.000,0,0
279,108.500,27.500,19.500,0,0
280,109.000,27.500,19.500,0,0
281,109.500,27.500,19.500,0,0
282,110.000,27.500,19.500,0,0
283,110.500,27.500,20.000,0,0
284,110.500,27.500,20.500,0,0
285,111.000,27.500,20.500,0,0
286,111.500,27.500,20.500,0,0
287,112.000,27.500,20.500,0,0
288,112.500,27.500,20.500,0,0
289,113.000,27.500,20.500,0,0
290,113.500,28.000,20.500,0,0
291,114.000,28.000,21.000,0,0
292,114.500,28.500,21.500,0,0
293,115.000,28.500,21.500,0,0
294,115.500,29.000,21.500,0,0
295,116.000,29.000,21.500,0,0
296,116.500,29.000,21.500,0,0
297,116.500,29.000,21.500,0,0
298,117.000,29.500,21.500,0,0
299,117.500,29.500,21.500,0,0
300,118.000,30.000,21.500,0,0
301,118.500,30.500,21.500,0,0
302,119.000,30.500,21.500,0,0
303,119.500,30.500,22.000,0,0
304,120.000,30.500,22.000,0,0
305,120.500,30.500,22.500,0,0
306,121.000,30.500,22.500,0,0
307,121.500,30.500,22.500,0,0
308,122.000,31.000,22.500,0,0
309,122.500,31.000,22.500,0,0
310,123.000,31.000,22.500,0,0
311,123.500,31.000,22.500,0,0
312,124.000,31.500,22.500,0,0
313,124.500,31.500,22.500,0,0
314,125.000,32.000,22.500,0,0
315,125.500,32.000,22.500,0,0
316,126.000,32.000,22.500,0,0
317,126.500,32.500,22.500,0,0
318,127.000,32.500,22.500,0,0
319,127.500,32.500,22.500,0,0
320,128.000,33.000,22.500,0,0
321,128.500,33.000,22.500,0,0
322,129.000,33.000,22.500,0,0
323,129.500,33.500,22.500,0,0
324,130.000,33.500,22.500,0,0
325,130.500,33.500,22.500,0,0
326,130.500,34.000,22.500,0,0
327,131.000,34.000,22.500,0,0
328,131.500,34.000,22.500,0,0
329,132.000,34.000,22.500,0,0
330,132.500,34.000,23.000,0,0
331,133.000,34.000,23.000,0,0
332,133.500,34.000,23.000,0,0
333,134.000,34.000,23.500,0,0
334,134.500,34.000,23.500,0,0
335,135.000,34.000,23.500,0,0
336,135.500,34.000,23.500,0,0
337,136.000,34.000,23.500,0,0
338,136.500,34.500,23.500,0,0
339,137.000,35.000,23.500,0,0
340,137.500,35.000,23.500,0,0
341,138.000,35.000,23.500,0,0
342,138.500,35.500,23.500,0,0
343,139.000,35.500,23.500,0,0
344,139.500,35.500,24.000,0,0
345,140.000,35.500,24.000,0,0
346,140.500,36.000,24.000,0,0
347,141.000,36.000,24.000,0,0
348,141.500,36.000,24.000,0,0
349,142.000,36.000,24.000,0,0
350,142.500,36.000,24.000,0,0
351,143.000,36.000,24.000,0,0
352,143.500,36.500,24.500,0,0
353,144.000,36.500,24.500,0,0
354,144.500,37.000,24.500,0,0
355,145.000,37.000,25.000,0,0
356,145.500,37.000,25.000,0,0
357,146.000,37.500,25.000,0,0
358,146.500,37.500,25.000,0,0
359,147.000,37.500,25.000,0,0
360,147.500,37.500,25.500,0,0
361,148.000,38.000,25.500,0,0
362,148.500,38.500,25.500,0,0
363,149.000,38.500,25.500,0,0
364,149.500,38.500,25.500,0,0
365,150.000,38.500,25.500,0,0
366,150.500,39.000,25.500,0,0
367,151.000,39.000,25.500,0,0
368,151.500,39.000,26.000,0,0
369,152.000,39.000,26.000,0,0
370,152.500,39.000,26.000,0,0
371,153.000,39.000,26.500,0,0
372,153.500,39.000,27.000,0,0
373,154.000,39.000,27.000,0,0
374,154.500,39.000,27.000,0,0
375,155.000,39.500,27.000,0,0
376,155.500,39.500,27.000,0,0
377,156.000,39.500,27.000,0,0
378,156.500,39.500,27.000,0,0
379,157.000,39.500,27.000,0,0
380,157.500,40.000,27.000,0,0
381,158.000,40.000,27.000,0,0
382,158.500,40.000,27.500,0,0
383,159.000,40.000,27.500,0,0
384,159.500,40.000,27.500,0,0
385,160.000,40.500,27.500,0,0
386,160.500,41.000,28.000,0,0
387,161.000,41.000,28.500,0,0
388,161.500,41.000,28.500,0,0
389,162.000,41.000,29.000,0,0
390,162.500,41.000,29.000,0,0
391,163.000,41.500,29.000,0,0
392,163.500,42.000,29.000,0,0
393,164.000,42.000,29.500,0,0
394,164.500,42.000,29.500,0,0
395,165.000,42.500,29.500,0,0
396,165.500,42.500,29.500,0,0
397,166.000,42.500,29.500,0,0
398,166.500,42.500,29.500,0,0
399,167.000,43.000,29.500,0,0
400,167.500,43.000,29.500,0,0
401,168.000,43.500,29.500,0,0
402,168.500,43.500,29.500,0,0
403,169.000,43.500,30.000,0,0
404,169.500,43.500,30.000,0,0
405,170.000,43.500,30.000,0,0
406,170.500,43.500,30.000,0,0
407,171.000,43.500,30.000,0,0
408,171.500,43.500,30.000,0,0
409,172.000,44.000,30.500,0,0
410,172.500,44.000,30.500,0,0
411,173.000,44.000,30.500,0,0
412,173.500,44.000,30.500,0,0
413,174.000,44.500,30.500,0,0
414,174.500,45.000,30.500,0,0
415,174.500,45.000,30.500,0,0
416,175.000,45.500,30.500,0,0
417,175.500,45.500,30.500,0,0
418,176.000,45.500,30.500,0,0
419,176.500,45.500,30.500,0,0
420,177.000,45.500,30.500,0,0
421,177.000,45.500,30.500,0,0
422,177.000,45.500,30.500,0,0
423,177.500,45.500,30.500,0,0
424,178.000,45.500,30.500,0,0
425,178.500,45.500,30.500,0,0
426,179.000,45.500,30.500,0,0
427,179.500,45.500,30.500,0,0
428,180.000,45.500,30.500,0,0
429,180.500,45.500,30.500,0,0
430,181.000,45.500,30.500,0,0
431,181.500,45.500,31.000,0,0
432,182.000,45.500,31.000,0,0
433,182.500,46.000,31.000,0,0
434,183.000,46.000,31.000,0,0
435,183.500,46.500,31.500,0,0
436,184.000,47.000,31.500,0,0
437,184.500,47.000,31.500,0,0
438,185.000,47.500,31.500,0,0
439,185.500,48.000,31.500,0,0
440,186.000,48.000,32.000,0,0
441,186.500,48.000,32.000,0,0
442,187.000,48.000,32.000,0,0
443,187.500,48.000,32.000,0,0
444,188.000,48.000,32.000,0,0
445,188.500,48.500,32.000,0,0
446,189.000,48.500,32.000,0,0
447,189.500,48.500,32.000,0,0
448,190.000,48.500,32.000,0,0
449,190.500,48.500,32.000,0,0
450,191.000,48.500,32.000,0,0
451,191.000,48.500,32.000,0,0
452,191.500,49.000,32.000,0,0
453,192.000,49.000,32.000,0,0
454,192.500,49.000,32.000,0,0
455,192.500,49.000,32.000,0,0
456,193.000,49.500,32.000,0,0
457,193.500,49.500,32.000,0,0
458,194.000,49.500,32.000,0,0
459,194.500,49.500,32.000,0,0
460,195.000,49.500,32.500,0,0
461,195.500,49.500,32.500,0,0
462,196.000,49.500,32.500,0,0
463,196.500,49.500,32.500,0,0
464,197.000,49.500,32.500,0,0
465,197.500,49.500,32.500,0,0
466,198.000,49.500,32.500,0,0
467,198.500,49.500,32.500,0,0
468,199.000,49.500,32.500,0,0
469,199.500,49.500,32.500,0,0
470,200.000,49.500,32.500,0,0
471,200.500,49.500,32.500,0,0
472,201.000,49.500,32.500,0,0
473,201.500,49.500,32.500,0,0
474,202.000,49.500,32.500,0,0
475,202.500,49.500,32.500,0,0
476,203.000,49.500,32.500,0,0
477,203.500,49.500,32.500,0,0
478,204.000,49.500,32.500,0,0
479,204.500,49.500,32.500,0,0
480,205.000,49.500,32.500,0,0
481,205.500,49.500,32.500,0,0
482,206.000,49.500,32.500,0,0
483,206.500,49.500,33.000,0,0
484,207.000,49.500,33.000,0,0
485,207.500,50.000,33.000,0,0
486,208.000,50.000,33.000,0,0
487,208.500,50.000,33.500,0,0
488,209.000,50.000,33.500,0,0
489,209.500,50.500,33.500,0,0
490,210.000,50.500,33.500,0,0
491,210.500,50.500,33.500,0,0
492,211.000,51.000,33.500,0,0
493,211.500,51.500,33.500,0,0
494,212.000,52.000,33.500,0,0
495,212.500,52.000,33.500,0,0
496,213.000,52.000,34.000,0,0
497,213.500,52.500,34.000,0,0
498,214.000,52.500,34.500,0,0
499,214.500,53.000,34.500,0,0
500,215.000,53.000,35.000,0,0
501,215.500,53.500,35.000,0,0
502,216.000,53.500,35.000,0,0
503,216.500,53.500,35.000,0,0
504,217.000,53.500,35.000,0,0
505,217.500,53.500,35.000,0,0
506,218.000,54.000,35.000,0,0
507,218.500,54.000,35.500,0,0
508,219.000,54.000,35.500,0,0
509,219.500,54.000,36.000,0,0
510,220.000,54.500,36.000,0,0
511,220.500,54.500,36.000,0,0
512,221.000,54.500,36.000,0,0
513,221.500,54.500,36.000,0,0
514,222.000,54.500,36.000,0,0
515,222.500,55.000,36.000,0,0
516,223.000,55.000,36.000,0,0
517,223.000,55.000,36.000,0,0
518,223.500,55.000,36.000,0,0
519,224.000,55.000,36.000,0,0
520,224.000,55.000,36.000,0,0
521,224.500,55.000,36.000,0,0
522,225.000,55.500,36.000,0,0
523,225.500,55.500,36.000,0,0
524,226.000,55.500,36.000,0,0
525,226.500,55.500,36.000,0,0
526,227.000,56.000,36.000,0,0
527,227.500,56.000,36.000,0,0
528,228.000,56.000,36.000,0,0
529,228.500,56.000,36.000,0,0
530,229.000,56.000,36.000,0,0
531,229.500,56.000,36.000,0,0
532,230.000,56.000,36.000,0,0
533,230.500,56.500,36.000,0,0
534,231.000,56.500,36.500,0,0
535,231.500,56.500,37.000,0,0
536,232.000,56.500,37.000,0,0
537,232.500,56.500,37.000,0,0
538,233.000,56.500,37.000,0,0
539,233.500,56.500,37.000,0,0
540,234.000,56.500,37.000,0,0
541,234.500,56.500,37.000,0,0
542,235.000,56.500,37.000,0,0
543,235.500,56.500,37.000,0,0
544,236.000,56.500,37.500,0,0
545,236.500,56.500,37.500,0,0
546,237.000,56.500,37.500,0,0
547,237.500,57.000,37.500,0,0
548,238.000,57.500,38.000,0,0
549,238.500,57.500,38.000,0,0
550,239.000,58.000,38.000,0,0
551,239.500,58.000,38.000,0,0
552,240.000,58.000,38.500,0,0
553,240.500,58.000,38.500,0,0
554,241.000,58.000,38.500,0,0
555,241.500,58.000,38.500,0,0
556,242.000,58.500,38.500,0,0
557,242.500,58.500,38.500,0,0
558,243.000,58.500,38.500,0,0
559,243.500,59.000,38.500,0,0
560,244.000,59.000,38.500,0,0
561,244.500,59.000,38.500,0,0
